Žadatel,IČ žadatele,Název NUTS
"Základní škola a mateřská škola s polským jazykem vyučovacím-Szkoła Podstawowa i Przedszkole, Karviná Fryštát, Dr. Olszaka 156",64628680,Karviná
"Základní škola J. A. Komenského Louny, Pražská 101, příspěvková organizace",49123882,Louny
"Základní škola a Mateřská škola Drnovice, okres Blansko",70873861,Drnovice
"Základní škola Hranice, Tř.1.máje, příspěvková organizace",49558609,Hranice
"Základní škola a Mateřská škola Vír, okres Žďár nad Sázavou příspěvková organizace",70981604,Vír
"Střední škola automobilní Kyjov, příspěvková organizace",00838217,Kyjov
"Gymnázium Olgy Havlové, Ostrava-Poruba, příspěvková organizace",00602159,Poruba
Základní škola a Mateřská škola Deštná,70986533,Deštná
"Vyšší odborná škola sklářská a Střední škola, Nový Bor, Wolkerova 316, příspěvková organizace",49864688,Nový Bor
"Základní škola a Mateřská škola při o.p.s. Olivově dětské léčebně, Říčany, Olivova 224",70845034,Říčany
"Střední škola strojírenská a elektrotechnická, Brno, příspěvková organizace",00380431,Brno-Líšeň
"Základní škola Nový svět, Opava, příspěvková organizace",72074183,Opava (nečleněná část města)
"Základní škola Dr. Milady Horákové Kopřivnice, Obránců míru 369 okres",64125874,Kopřivnice
"Mendelovo gymnázium Opava, příspěvková organizace",47813113,Opava (nečleněná část města)
Sofie - mateřská škola a základní škola o.p.s.,24144461,Říčany
"Základní škola Václava Havla, Poděbrady, Na Valech 45, okres Nymburk",61631485,Poděbrady
"Základní škola a Mateřská škola Loučná nad Desnou, příspěvková organizace",60341661,Loučná nad Desnou
"Základní škola, Šlapanice, okres Brno-venkov, příspěvková organizace",75023920,Šlapanice
Základní škola a mateřská škola Květná,70188963,Květná
"Gymnázium Jakuba Škody, Komenského 29, Přerov",00842966,Přerov
"Střední škola zemědělská a zahradnická, Olomouc, U Hradiska 4",00602035,Olomouc
Střední odborná škola a Střední odborné učiliště Horky nad Jizerou 35,00069558,Horky nad Jizerou
Střední průmyslová škola strojírenská a Jazyková škola s právem státní jazykové zkoušky Kolín,48665860,Kolín
"Vyšší odborná škola a Střední odborná škola automobilní, Zábřeh, U Dráhy 6",00577324,Zábřeh
"Střední škola stravování a služeb Karlovy Vary, příspěvková organizace",00520055,Karlovy Vary
"ZÁKLADNÍ ŠKOLA A MATEŘSKÁ ŠKOLA KOCLÍŘOV, okres Svitavy",71009426,Koclířov
"Základní škola a Mateřská škola Běly Jensen, Opatov, okres Svitavy",75015595,Opatov
"Zakladní škola Kunčina, okres Svitavy",70997861,Kunčina
Střední odborná škola mediální grafiky a polygrafie Rumburk příspěvková organizace,00497029,Rumburk
"Základní škola a mateřská škola Dolní Bojanovice, okres Hodonín příspěvková organizace",70943044,Dolní Bojanovice
"Gymnázium Hladnov a Jazyková škola s právem státní jazykové zkoušky Ostrava, příspěvková organizace",00842753,Slezská Ostrava
"Střední odborná škola technická a zahradnická, Lovosice, p.o.",00082571,Lovosice
"Agentura pro podporu podnikání a investic CzechInvest",71377999,
"Zaměstnavatelský svaz důlního a naftového průmyslu - společenstvo těžařů ČR",15273725,
"Soukromá střední odborná škola Hranice, s.r.o.",25375300,
"Základní škola Nejdek, náměstí Karla IV., příspěvková organizace",60611049,
"Střední zdravotnická škola a Vyšší odborná škola zdravotnická, Brno, Merhautova 15",00638005,
"Biskupské gymnázium v Ostravě",00845388,
"Střední škola rybářská a vodohospodářská Jakuba Krčína, Třeboň, Táboritská 941",00510912,
"Střední odborná škola a Gymnázium Staré Město",60371790,
"Základní škola a mateřská škola KLAS s.r.o.",46577742,
"Střední odborné učiliště elektrotechnické, Plzeň, Vejprnická 56",69456330,
"Všeobecné a sportovní gymnázium, Bruntál, příspěvková organizace",00601357,
"Základní škola a Mateřská škola Mankovice, příspěvková organizace",75027267,
"Střední škola informatiky, poštovnictví a finančnictví Brno",00380385,
"Základní škola a mateřská škola Čtyřlístek, s.r.o.",25349520,
"Střední škola Brno, Charbulova, příspěvková organizace",60552255,
"Základní škola a Mateřská škola, Bohutice, okres Znojmo, příspěvková organizace",71010670,
"AVE ART Ostrava, soukromá Střední umělecká škola a Základní umělecká škola, s.r.o.",25862391,
"Základní škola a mateřská škola Basic, o.p.s.",28293240,
