IČO,Žadatel,Název,Celkové zdroje,Smlouva,Proplaceno
65993390,Ředitelství silnic a dálnic ČR,"D1 Modernizace - úsek 14, EXIT 104 Větrný Jeníkov - EXIT 112 Jihlava",0.9,0.68,0.65
00405698,Fond dalšího vzdělávání,Stáže ve firmách - vzdělávání praxí,0.8,0.68,0.66
68378271,"Fyzikální ústav AV ČR, v. v. i.",HiLASE: Nové lasery pro průmysl a výzkum,0.87,0.68,0.68
00216305,Vysoké učení technické v Brně,"AdMaS - Pokročilé stavební materiály, konstrukce a technologie",0.95,0.67,0.57
18050646,"TŘINECKÉ ŽELEZÁRNY, a. s.",Sekundární odprášení haly KKO,1.09,0.67,0.67
65993390,Ředitelství silnic a dálnic ČR,Silnice I/9 Sosnová MÚK,0.84,0.66,0.57
70994234,"Správa železniční dopravní cesty, státní organizace","Modernizace trati Ševětín - Veselí nad Lužnicí, 1. část, Ševětín - Horusice",1.0,0.66,0.48
00216305,Vysoké učení technické v Brně,NETME Centre (Nové technologie pro strojírenství),0.9,0.65,0.64
00216224,Masarykova univerzita,"Centrum experimentální, systematické a ekologické biologie",0.81,0.64,0.58
65993390,Ředitelství silnic a dálnic ČR,Silnice I/37 Hrobice - Ohrazenice,0.77,0.63,0.63
70994234,"Správa železniční dopravní cesty, státní organizace",Modernizace trati České Budějovice - Nemanice I,1.01,0.63,0.47
46709002,"VÚTS, a.s.",Centrum rozvoje strojírenského výzkumu Liberec,0.89,0.63,0.62
61989592,Univerzita Palackého v Olomouci,Rozvoj infrastruktury pro výzkum a výuku na Lékařské fakultě UP,0.93,0.63,0.59
00075370,Statutární město Plzeň,Rekonstrukce a modernizace úpravny vody Plzeň,1.09,0.62,0.62
65993390,Ředitelství silnic a dálnic ČR,"D1 Modernizace - úsek 21, EXIT 153 Lhotka - EXIT 162 Velká Bíteš",0.83,0.62,0.6
67981801,Ředitelství vodních cest ČR,Dokončení vltavské vodní cesty v úseku VD Hněvkovice-Týn nad Vltavou,0.73,0.62,0.22
70994234,"Správa železniční dopravní cesty, státní organizace","Modernizace trati Veselí n.L. - Tábor - II. část, úsek Veselí n.L. - Doubí u Tábora, 1.etapa: Veselí n.L. - Soběslav",1.04,0.62,0.56
65993390,Ředitelství silnic a dálnic ČR,"D1 Modernizace - úsek 09, EXIT 66 Loket - EXIT 75 Hořice",0.87,0.61,0.61
25572245,Svaz VKMO s.r.o.,Projekt ochrany vod povodí řeky Dyje - II. etapa,1.07,0.61,0.6
00551023,Ministerstvo práce a sociálních věcí,Vzdělávání a dovednosti pro trh práce,0.72,0.61,0.55
61974757,Dopravní podnik Ostrava a.s.,Autobusy CNG v DPO,0.92,0.61,0.61
49777513,Západočeská univerzita v Plzni,NTIS - Nové technologie pro informační společnost,1.05,0.6,0.6
70994234,"Správa železniční dopravní cesty, státní organizace",Rekonstrukce trati Klatovy - Železná Ruda,0.74,0.59,0.58
70994234,"Správa železniční dopravní cesty, státní organizace",Optimalizace tratě Č. Velenice - Veselí nad Lužnicí-1.stavba,0.78,0.59,0.59
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/21 Nová Hospoda - Kočov, přeložka 1.stavba",0.71,0.58,0.58
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R7 Sulec - obchvat,0.72,0.58,0.56
70994234,"Správa železniční dopravní cesty, státní organizace",Modernizace traťového úseku Brno Maloměřice (včetně) - Brno Židenice (mimo),0.75,0.58,0.36
70994234,"Správa železniční dopravní cesty, státní organizace",GSM-R dokončení I. NŽK,0.68,0.58,0.55
61989100,Vysoká škola báňská - Technická univerzita Ostrava,Regionální materiálově technologické výzkumné centrum,0.77,0.58,0.57
70890692,Moravskoslezský kraj,Integrované bezpečnostní centrum Moravskoslezského kraje,0.7,0.58,0.57
70883521,Univerzita Tomáše Bati ve Zlíně,Centrum polymerních systémů,0.93,0.58,0.57
65993390,Ředitelství silnic a dálnic ČR,Silnice I/50 Bánov - obchvat,0.72,0.57,0.58
68407700,České vysoké učení technické v Praze,Univerzitní centrum energeticky efektivních budov (UCEEB),0.78,0.57,0.57
70994234,"Správa železniční dopravní cesty, státní organizace",Rekonstrukce trati Praha Smíchov (mimo) - Rudná - Beroun (mimo),0.76,0.57,0.53
70994234,"Správa železniční dopravní cesty, státní organizace",Elektrizace tratě Č. Velenice - Č. Budějovice 1. etapa,1.0,0.57,0.56
70994234,"Správa železniční dopravní cesty, státní organizace",Rekonstrukce trati Liberec - Tanvald,0.74,0.57,0.57
72053119,"Správa a údržba silnic Plzeňského kraje, příspěvková organizace",Městský okruh Domažlická - Křimická v Plzni,0.66,0.56,0.45
65993390,Ředitelství silnic a dálnic ČR,Rychlostní silnice R4 křižovatka I/20 - Nová Hospoda,1.4,0.56,0.56
70994234,"Správa železniční dopravní cesty, státní organizace",Rekonstrukce koleje č. 2 Brno-Maloměřice - Brno-Královo Pole,0.95,0.56,0.5
00064581,HLAVNÍ MĚSTO PRAHA,Systém řízení a regulace městského silničního provozu v hl. m. Praze,0.66,0.56,0.56
46747885,Technická univerzita v Liberci,"Centrum pro nanomateriály, pokročilé technologie a inovace",0.82,0.56,0.55
00025712,Český úřad zeměměřický a katastrální,Vybudování RUIAN a modernizace Informačního systému katastru nemovitostí ČÚZK,0.68,0.55,0.53
67179843,"Centrum výzkumu globální změny AV ČR, v. v. i.",CzechGlobe - Centrum pro studium dopadů globální změny klimatu,0.97,0.55,0.55
65993390,Ředitelství silnic a dálnic ČR,Silnice I/44 Červenohorské sedlo - sever,0.76,0.55,0.55
70892156,Ústecký kraj,"Ústecký kraj,Chomutov,Louny,Rekonstrukce úseku I/13 - Podbořany-Petrohrad, silnice II/224 (I. etapa)",0.64,0.54,0.48
65993390,Ředitelství silnic a dálnic ČR,"D1 Modernizace - úsek 05, EXIT 41 Šternov - EXIT 49 Psáře",0.73,0.54,0.51
49777513,Západočeská univerzita v Plzni,Regionální inovační centrum elektrotechniky (RICE),0.8,0.53,0.53
62156489,Mendelova univerzita v Brně,Výukové a výzkumné kapacity pro biotechnologické obory a rozšíření infrastruktury,0.84,0.53,0.52
70994234,"Správa železniční dopravní cesty, státní organizace",GSM-R Kolín - Havlíčkův Brod - Křižanov - Brno,0.67,0.52,0.47
00001171,Česká agentura na podporu obchodu,Realizace interního projektu Společná účast na specializovaných výstavách a veletrzích v zahraničí pro 2009 - 2012,0.61,0.52,0.46
70856788,Státní fond rozvoje bydlení,Realizace finančního nástroje JESSICA v IOP,0.61,0.52,0.52
00022985,"Ministerstvo školství, mládeže a tělovýchovy",Rozvoj a implementace Národní soustavy kvalifikací,0.6,0.51,0.49
63839172,"CESNET, zájmové sdružení právnických osob",Rozš. nár. info. infr. pro VaV v regionech (eIGeR),0.75,0.51,0.45
63113074,Svaz měst a obcí České republiky,Systémová podpora rozvoje meziobecní spolupráce v ČR v rámci území správních obvodů obcí s rozšířenou působností,0.6,0.51,0.51
70890692,Moravskoslezský kraj,Podpora a rozvoj služeb sociální prevence v Moravskoslezském kraji,0.6,0.51,0.47
62243136,"Unipetrol výzkumně vzdělávací centrum, a.s.",Unipetrol výzkumně vzdělávací centrum,0.78,0.5,0.5
70994234,"Správa železniční dopravní cesty, státní organizace",Rekonstrukce ŽST Horažďovice předměstí,0.64,0.5,0.42
70888337,Jihomoravský kraj,Zajištění vybraných služeb sociální prevence v Jihomoravském kraji,0.59,0.5,0.45
25508881,"Dopravní podnik města Brna,a.s.",Nákup nízkopodlažních velkokapacitních tramvají pro MHD v Brně - 2. etapa,0.7,0.5,
71377999,Agentura pro podporu podnikání a investic CzechInvest,Dotované ICT služby pro malé a střední podniky,0.59,0.5,
25945793,"TEPVOS, spol. s r.o.",Ústí nad Orlicí - kanalizace a ČOV,0.85,0.5,0.47
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/13 Děčín, most ev.č. 13-085, pravobřežní estakáda",0.6,0.5,0.47
70888337,Jihomoravský kraj,Zajištění vybraných sociálních služeb na území Jihomoravského kraje,0.59,0.5,0.45
70891095,Středočeský kraj,Základní síť sociálních služeb ve Středočeském kraji,0.58,0.49,0.46
26396645,Techmania Science Center o.p.s.,TECHMANIA SCIENCE CENTER,0.7,0.49,0.46
70891320,Zlínský kraj,Revitalizace objektů 14. a 15. bývalého areálu firmy Baťa,0.88,0.49,0.49
70888337,Jihomoravský kraj,Moravian Science Centre Brno,0.6,0.49,0.48
25271121,VÝZKUMNÝ A ŠLECHTITELSKÝ ÚSTAV OVOCNÁŘSKÝ HOLOVOUSY s.r.o.,Ovocnářský výzkumný institut,0.76,0.48,0.48
70994234,"Správa železniční dopravní cesty, státní organizace",Rekonstrukce koleje č. 2 Brno-Královo Pole-Kuřim,0.62,0.48,0.42
70994234,"Správa železniční dopravní cesty, státní organizace","Trať 280 Hranice na Moravě - Střelná, úsek Valašské Meziříčí (mimo) - Jablůnka (mimo) a Vsetín (mimo) - Horní Lideč (mimo)",0.65,0.48,0.35
00025798,Česká geologická služba,Rebilance zásob podzemních vod,0.58,0.48,0.45
70994234,"Správa železniční dopravní cesty, státní organizace","Trať 280 Hranice na Moravě - Střelná, úsek Teplice nad Bečvou (mimo) - Hustopeče nad Bečvou (mimo)",0.63,0.47,0.2
00002739,"DIAMO, státní podnik",Sanace a rekultivace staré ekologické zátěže státního podniku DIAMO na lokalitě Mydlovary - chemická úpravna a odkaliště K IV/D,0.71,0.47,0.47
70890692,Moravskoslezský kraj,"Letiště Leoše Janáčka Ostrava, kolejové napojení",0.55,0.46,0.44
66002222,Ministerstvo pro místní rozvoj,Zajištění finančního ohodnocení administrativní kapacity NSRR na MMR,0.55,0.46,0.44
25508881,"Dopravní podnik města Brna,a.s.",Obnova vozového parku drážních vozidel - nákup nízkopodlažních tramvají,0.64,0.46,0.46
00007064,Ministerstvo vnitra,Registr práv a povinností,0.54,0.46,0.46
75125285,"Dolní oblast VÍTKOVICE, z.s.",Svět techniky - Science and Technology Centrum,0.66,0.46,0.42
00216224,Masarykova univerzita,CETOCOEN,0.68,0.46,0.42
60461373,Vysoká škola chemicko-technologická v Praze,Zvýšení kvality labor. výuky studentů VŠCHT Praha,0.57,0.46,0.44
70994234,"Správa železniční dopravní cesty, státní organizace",Trať 340 Brno - Uherské Hradiště v úseku Šlapanice (mimo) - Blažovice (včetně),0.6,0.45,0.24
70994234,"Správa železniční dopravní cesty, státní organizace","Trať 230 Kolín - Havlíčkův Brod, úsek Golčův Jeníkov - Vlkaneč",0.59,0.45,0.39
65993390,Ředitelství silnic a dálnic ČR,Silnice I/34 Česká Bělá - obchvat,0.55,0.45,0.41
49458892,Svazek vodovodů a kanalizací Ivančice,Zlepšení kvality vod v řekách Jihlava a Svratka nad nádrží Nové Mlýny,0.78,0.44,0.43
70883521,Univerzita Tomáše Bati ve Zlíně,Laboratorní centrum Fakulty technologické,0.63,0.44,0.43
00007064,Ministerstvo vnitra,Sjednocení technologické platformy Policie ČR,0.52,0.44,0.44
65993390,Ředitelství silnic a dálnic ČR,Rekonstrukce vybraných úseků D11 včetně dalších modernizačních opatření,0.7,0.44,0.38
70994234,"Správa železniční dopravní cesty, státní organizace",Kontrolně analytické centrum řízení dopravy,0.55,0.44,0.31
65993390,Ředitelství silnic a dálnic ČR,Silnice I/11 Český Těšín - obchvat,0.61,0.44,0.44
70994234,"Správa železniční dopravní cesty, státní organizace",Trať 030 Jaroměř - Liberec v úseku Turnov - Liberec,0.57,0.44,0.38
70994234,"Správa železniční dopravní cesty, státní organizace",Trať 030 Jaroměř - Liberec v úseku Stará Paka - Malá Skála,0.56,0.44,0.41
70994234,"Správa železniční dopravní cesty, státní organizace","Trať 130 Ústí n.L. - Klášterec n.O., úsek Most - Chomutov",0.91,0.43,0.4
00005886,"Dopravní podnik hl.m. Prahy ,akciová společnost",Tramvajová trať Radlická,0.7,0.43,0.38
70994234,"Správa železniční dopravní cesty, státní organizace",GSM-R v úseku Ostrava - st. hr. SR a Přerov - Česká Třebová,0.58,0.43,0.4
65993390,Ředitelství silnic a dálnic ČR,"Silnice I/21 Velká Hleďsebe, obchvat",0.56,0.43,0.39
00005886,"Dopravní podnik hl.m. Prahy ,akciová společnost",Rekonstrukce tramvajové trati Plzeňská,0.84,0.43,0.43
61989592,Univerzita Palackého v Olomouci,Regionální centrum pokročilých technologií a materiálů,0.86,0.43,0.42
00479365,Kanonie premonstrátů Teplá,Vzorová obnova NKP Klášter premonstrátů Teplá,0.5,0.42,0.42
65993390,Ředitelství silnic a dálnic ČR,Silnice I/43 Opatov - obchvat,0.52,0.42,0.42
72045230,"Terezín - město změny, zájmové sdružení právnických osob",Terezín - projekt oživení historických památek,0.5,0.42,0.38
00007064,Ministerstvo vnitra,Letecká technika pro záchranné práce v IZS,0.52,0.42,0.4
