IČO,Žadatel,Celkové zdroje,Smlouva,Proplaceno
26595621,"Manner, občanské sdružení",0.16,0.11,0.11
27810577,"EnergoFuture, a.s.",0.44,0.11,0.1
49627325,Konfederace zaměstnavatelských a podnikatelských svazů ČR,0.13,0.11,0.11
27899161,",, Nadace Josefa Viewegha Sklářská huť František """,0.13,0.11,0.11
26936364,"KRONOSPAN OSB, spol. s r.o.",0.62,0.11,0.11
18627757,"Honeywell, spol. s r.o.",0.3,0.11,0.1
26872307,PRECHEZA a.s.,0.26,0.11,0.11
47450703,"FORMPLAST PURKERT, s.r.o.",0.24,0.11,0.1
15051145,"KonekTel, a.s.",0.23,0.11,0.11
25446592,"SEKO Aerospace, a.s.",0.24,0.11,0.09
46347160,"ŽĎAS, a.s.",0.29,0.11,0.1
25304046,"Bioveta, a.s.",0.38,0.11,0.1
25107305,SEVAPHARMA a.s.,0.28,0.11,0.1
70599963,ESTER z. s.,0.13,0.1,0.1
67798853,"AISIS, občanské sdružení",0.12,0.1,0.08
26813335,TEMPO TRAINING & CONSULTING a.s.,0.13,0.1,0.09
28189329,GAMMA Property a.s.,0.15,0.1,0.09
25061551,"K.M.TRADE,spol.s r.o.",0.2,0.1,0.1
14613182,KARLA spol. s r.o.,0.24,0.1,0.1
25268694,"P A R D A M , s.r.o.",0.2,0.1,0.1
00545503,DF Partner s. r. o.,0.24,0.1,0.1
26357895,Daikin Industries Czech Republic s.r.o.,0.36,0.1,0.1
25119109,Všesportovní areál OBŘÍ SUD JAVORNÍK s.r.o.,0.24,0.1,0.1
45536724,SOMA spol. s r. o.,0.22,0.1,0.1
25900706,MARLENKA international s.r.o.,0.24,0.1,0.1
45192090,ČSAD Karviná a.s.,0.21,0.1,0.1
48208205,"TIRAD, s.r.o.",0.23,0.1,0.1
60917431,Contipro Pharma a.s.,0.22,0.1,0.1
27585573,SILO INVEST s.r.o.,0.19,0.1,0.1
00527785,Tělocvičná jednota Sokol Pardubice I,0.13,0.1,0.09
26151201,"PRESBETON Drahotuše, s.r.o.",0.23,0.1,0.08
63080303,"Industry Servis ZK, a.s.",0.15,0.1,0.1
27155994,PRESIDENT SECURITIES a.s.,0.26,0.1,0.09
25421719,ELMARCO s.r.o.,0.22,0.1,0.07
64830942,PEBAL s.r.o.,0.24,0.09,0.09
25112058,"FORLIT, a.s.",0.2,0.09,0.09
63471507,BioVendor - Laboratorní medicína a.s.,0.22,0.09,0.09
27769127,"RPG Byty, s.r.o.",0.31,0.09,0.08
25376977,TEXTIL INVEST s.r.o.,0.23,0.09,0.09
13497774,"ASPERA, spol. s r.o.",0.27,0.09,0.09
63509911,Sedlecký kaolin a. s.,0.27,0.09,0.09
48623814,Oblastní charita Červený Kostelec,0.11,0.09,0.09
70104565,YACHT KLUB CERE,0.12,0.09,0.09
