Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
"Dolmen, o.p.s. Agentura pro chráněné bydlení",8.42934591
Oblastní charita Vyškov,8.31218395
"ENVIRA, o. p. s.",8.30953217
"Šance na vzdělání, o.p.s.",8.300929069999999
Římskokatolická farnost Cheb,8.26790644
"Vysoká škola ekonomie a managementu, o.p.s.",8.25498707
"Astrid, o.p.s.",8.24545737
Římskokatolická farnost Vítkov,8.24336885
Římskokatolická farnost Luže,8.214621
Římskokatolická farnost - děkanství Liberec - Rochlice,8.19502043
Vzdělávací a komunitní centrum Integra Vsetín o.p.s.,8.182348039999999
"Centrum ALMA, o.p.s.",8.16646136
"Mensa gymnázium, o.p.s.",8.1338902
Arcibiskupství pražské,8.07052001
MAS Nad Prahou o.p.s.,8.06937767
Městská Charita Plzeň,8.05578744
Farní sbor Slezské církve evangelické a. v. v Třinci,8.04783325
"SPONDEA, o.p.s.",8.03666416
Biskupství českobudějovické,7.97030659
"Ústav sociálních inovací, o.p.s.",7.96463607
Elrond o.s.,7.924250560000001
Oáza klidu o.p.s.,7.92240662
Římskokatolická farnost Rychaltice,7.9098618
Charita Zábřeh,7.884301
"Pestrá společnost, o.p.s.",7.828319930000001
"I. Německé zemské gymnasium, základní škola a mateřská škola, o. p. s.",7.8154864
"TyfloCentrum Olomouc, o.p.s.",7.81209383
"Valašsko, o.p.s.",7.767199150000001
EKO GYMNÁZIUM BRNO o.p.s.,7.73202076
"Via Lucis Praha,  o.p.s.",7.72574347
"Denní centrum Barevný svět, o.p.s.",7.72328038
"Západomoravská vysoká škola Třebíč, o.p.s.",7.715619569999999
Computer Agency o.p.s.,7.71228717
"TyfloCentrum Pardubice, o.p.s.",7.668168860000001
"KONÍČEK, občanské sdružení",7.662396370000001
Venkovský prostor o.p.s.,7.6167045600000005
Jako doma - Homelike,7.60070929
"SPC Pramínek,  o.p.s.",7.59148008
Římskokatolická farnost Radíčeves,7.54428328
Biskupství brněnské,7.4743749600000005
Asociace TRIGON,7.46669999
Vysoká škola logistiky o.p.s.,7.44986204
Nadace pro rozvoj architektury a stavitelství,7.44831294
"Metodické a evaluační centrum, o.p.s.",7.4406034199999995
LEADER ACADEMY o.p.s.,7.35547515
Občanské sdružení Borůvka,7.30547869
Občanské sdružení Vzájemné soužití,7.29609979
Konvent Hospitálského řádu sv. Jana z Boha - Milosrdných bratří v Brně,7.274508
"Rytmus-Chrudim, o.p.s.",7.2653881600000005
"Cukrárna Vesmírna, o.p.s.",7.237449300000001
Římskokatolická farnost Švihov,7.2353976200000005
"Centrum mentoringu, o.p.s.",7.23013432
Římskokatolická farnost - arciděkanství Liberec,7.227892570000001
Řeholní dům Kongregace Naše Paní milosrdenství Dobrého Pastýře,7.21722953
Sbor Jednoty bratrské v Novém Městě pod Smrkem,7.21405911
"Informační centrum Praha 5, o.p.s.",7.181546030000001
"Informační středisko Mikuláš, o.p.s.",7.15772564
"""Pastorační středisko o.p.s.""",7.05980513
Oblastní charita Pardubice,6.99220709
"Liberix, o.p.s.",6.96355704
"Smetanova Litomyšl, o.p.s.",6.94454
"Prosperita, o.p.s.",6.93848982
Římskokatolická farnost Sedliště,6.926429850000001
Římskokatolická farnost Domažlice,6.829192519999999
TyfloCentrum Hradec Králové o.p.s.,6.75771295
"Základní škola Pastelka, o.p.s.",6.733548
"Centrum pro integraci cizinců, o.p.s.",6.56647125
"Domov Sue Ryder, o.p.s.",6.4955189
KRUŠNOHORSKÁ ŘEMESLA o.p.s.,6.44702274
Oblastní Charita Rokycany,6.37114573
"Filmová akademie Miroslava Ondříčka v Písku, o.p.s.",6.34161256
Římskokatolická farnost Otaslavice,6.313208
Římskokatolická farnost Hlučín,6.31098031
TyfloCentrum Praha  o.p.s.,6.25454189
"Bílý nosorožec, o.p.s.",6.22794771
Římskokatolická farnost Hať,6.20081886
Českobratrská církev evangelická,6.178163
Institut pro regionální spolupráci,6.16994083
"Otevřená společnost, o.p.s.",6.1627123500000005
"Vzdělávací, sociální a kulturní středisko při Nadaci Jana Pivečky, o.p.s.",6.162124019999999
"Alternativa 50+, o.p.s.",6.14668887
"Socln, o.p.s.",6.11760671
Suchopýr o.p.s.,6.05303768
Via Roseta o.p.s.,6.0370703
"MAS Uničovsko, o.p.s.",5.9726146799999995
Posázaví o.p.s.,5.9649236299999995
"Partners Czech, o.p.s.",5.838551109999999
Nymburská o.p.s.,5.83835994
Diakonie ČCE - středisko Rolnička,5.76892315
4PEOPLE ASSOCIATION o.p.s.,5.689334400000001
"Národní vinařské centrum, o.p.s.",5.64029357
Římskokatolická farnost Frenštát pod Radhoštěm,5.57656194
Nadace rozvoje občanské společnosti,5.563888769999999
Nadace dřevo pro život,5.56249622
"SOUŽITÍ 2005, o.p.s.",5.549924
"FIGURKA, o.p.s.",5.53820253
"Agentura Osmý den, o.p.s.",5.50553129
"Energetická agentura Zlínského kraje, o.p.s.",5.49060881
"Burma Center Prague, o.p.s.",5.465968719999999
"Centrum ekonomického vzdělávání Ostrava, o.p.s.",5.45728612
"Vesněnka, o.p.s.",5.43648995
