Žadatel,IČ žadatele,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Svaz vodovodů a kanalizací Žďársko,43383513,0.43355098298
"CGMC, družstvo",28094468,0.433478796
",,Svazek vodovodů a kanalizací"" měst a obcí",49468952,0.42933934523
Město Jindřichův Hradec,00246875,0.42819821865
"Výzkumný ústav veterinárního lékařství, v. v. i.",00027162,0.42423640483999997
"Vodovody a kanalizace Pardubice, a.s.",60108631,0.42115124882000005
Bammer trade a.s.,28522761,0.418855
Město Vlašim,00232947,0.41852379603999995
Střední průmyslová škola Ostrov,70845425,0.41431435745
"CHEVAK Cheb, a.s.",49787977,0.41064434997000004
"Nemocnice Strakonice, a.s.",26095181,0.40994717886000004
Město Český Těšín,00297437,0.40780302786000006
Římskokatolická farnost Velehrad,46956484,0.40767244998
"IQLANDIA, o.p.s.",25444565,0.40679435775
Statutární město Přerov,00301825,0.40671252579000006
Správa Krkonošského národního parku Vrchlabí,00088455,0.4018743964999999
Fakultní nemocnice v Motole,00064203,0.40132073056000006
"Oblastní nemocnice Příbram, a.s.",27085031,0.39855827183
"RenoEnergie, a.s.",27128164,0.39714598782
VÍTKOVICE HEAVY MACHINERY a.s.,25877950,0.39544877846
Město Chrudim,00270211,0.3953282425800001
Město Kopřivnice,00298077,0.3913402585
Severočeské doly a.s.,49901982,0.38783249242999995
ČESKÁ SPRÁVA SOCIÁLNÍHO ZABEZPEČENÍ,00006963,0.38780956414999995
Město Orlová,00297577,0.38755489036999985
Slezská univerzita v Opavě,47813059,0.38693459480000003
MemBrain s.r.o.,28676092,0.38612138683999997
Město Uherské Hradiště,00291471,0.38484744758
"Správa a údržba silnic Ústeckého kraje, příspěvková organizace",00080837,0.38471191711
"Mikrobiologický ústav AV ČR, v. v. i.",61388971,0.3764266296599999
"Nemocnice Jihlava, příspěvková organizace",00090638,0.37607021663
Integrovaná střední škola technická a ekonomická Sokolov,49766929,0.37174579637
Svazek obcí údolí Desné,65497074,0.36596232557999997
Město Šumperk,00303461,0.36413407440000006
"ENERGETIKA TŘINEC, a.s.",47675896,0.36308629908999995
"Dopravní společnost Zlín-Otrokovice, s.r.o.",60730153,0.358893434
Obec Ludgeřovice,00300390,0.35751694583000004
EXELSIOR GROUP s.r.o.,25846574,0.356608157
"Vodovody a kanalizace Mladá Boleslav, a.s.",46356983,0.35553287836
MĚSTO PEC POD SNĚŽKOU,00278181,0.35521283892
Ministerstvo zemědělství,00020478,0.35411583319
Městská část Praha 13,00241687,0.35392230495
Město Uherský Brod,00291463,0.3532079543200001
JUTA a.s.,45534187,0.35152381552999995
Město Úvaly,00240931,0.34992751112
Koordinační středisko pro resortní zdravotnické informační systémy,71376500,0.34974577126
Město Otrokovice,00284301,0.34801484099
MINISTERSTVO SPRAVEDLNOSTI,00025429,0.34672724637
Město Bystřice nad Pernštejnem,00294136,0.34593702822000005
Městská část Praha 8,00063797,0.34491182322999997
"ŽS REAL, a.s.",25334271,0.3440649909
MĚSTO KROMĚŘÍŽ,00287351,0.34393181346
FERRIT s.r.o.,48400751,0.340808748
NÁRODNÍ TECHNICKÉ MUSEUM,00023299,0.33832238751
Město  Poděbrady,00239640,0.33680293734
STATUTÁRNÍ MĚSTO MOST,00266094,0.33655427431000007
Obec Dolní Břežany,00241202,0.33614962787
Město Sedlčany,00243272,0.33521957755000004
Město Jirkov,00261904,0.33513747765999996
"Dopravní podnik města Hradce Králové, a.s.",25267213,0.332267119
Město HODONÍN,00284891,0.33207387803
Karlovarská krajská nemocnice a.s.,26365804,0.32800013876
"Povodí Moravy, s.p.",70890013,0.32775373319
Město Moravská Třebová,00277037,0.32755614506999997
Město Kolín,00235440,0.3272068828800001
Obec Kamenice,00240273,0.32700726055999996
"Oblastní nemocnice Kolín, a.s., nemocnice Středočeského kraje",27256391,0.32624110822999997
MĚSTO SVITAVY,00277444,0.3261102927700001
"Vodovody a kanalizace Přerov, a.s.",47674521,0.32541360375
Město Písek,00249998,0.32503298757
"Plzeňské městské dopravní podniky, a.s.",25220683,0.3229942405
Continental Automotive Czech Republic s.r.o.,62024922,0.321099257
Město Benešov,00231401,0.32005572983
Správa Národního parku Šumava,00583171,0.31972922367000006
Město Bruntál,00295892,0.3194163976
Česká zemědělská univerzita v Praze,60460709,0.31818685708000005
C-Energy Bohemia s.r.o.,25106481,0.31737114751000006
Město Jeseník,00302724,0.31719092620000006
Statutární město Prostějov,00288659,0.31289797351999993
"CENIA, česká informační agentura životního prostředí",45249130,0.31074447253
Město Pelhřimov,00248801,0.30294087571000006
Město Mělník,00237051,0.30020585614000006
"Nupharo Park, a.s.",29031621,0.299990765
Národní knihovna České republiky,00023221,0.29856774717
Město Kutná Hora,00236195,0.29815316899
VYRTYCH a.s.,27862470,0.296864876
"Siemens, s.r.o.",00268577,0.29685560717000004
MĚSTO JABLONEC NAD NISOU,00262340,0.2955560748700001
"Dopravní podnik města Jihlavy, a.s.",25512897,0.29509327239
"Plzeňská teplárenská, a.s.",49790480,0.2932519528
"Městský dopravní podnik Opava, a.s.",64610250,0.29285201082
SKIAREÁL KLÍNOVEC s.r.o.,43227317,0.29123595464999996
Město Aš,00253901,0.28999293338
Město Znojmo,00293881,0.28841507534
ČESKÁ ŠKOLNÍ INSPEKCE,00638994,0.28806387273
Federace židovských obcí v České republice,00438341,0.28480919336
Město Český Krumlov,00245836,0.2838523174700001
"VHS SITKA, s.r.o.",47150891,0.28363127642
Vojenská střední škola a Vyšší odborná škola Ministerstva obrany v Moravské Třebové,60162694,0.28269767759000003
Město Nejdek,00254801,0.2826455327
"VEBA, textilní závody a.s.",45534276,0.28239959928
Město Ostrov,00254843,0.28099402988
Krajské ředitelství policie Ústeckého kraje,75151537,0.28021562244000003
"IBM Global Services Delivery Center Czech Republic, s.r.o.",26244535,0.279999289
Město Telč,00286745,0.27712740817000003
Správa a údržba silnic Jihočeského kraje,70971641,0.27640937854000003
Město Zruč nad Sázavou,00236667,0.2760213200700001
Dobrovolný svazek obcí Jaroměřsko,75082233,0.27386633766
Město Klatovy,00255661,0.27221637094000006
Technologické centrum Písek s.r.o.,27942368,0.271585887
Město Česká Třebová,00278653,0.27022549856
Město Valašské Meziříčí,00304387,0.2674041141
VIENNA POINT a.s.,26229269,0.266927145
Dolnolabské elektrárny a.s.,26176165,0.26569881937
"Vodovody a kanalizace Vyškov,a.s.",49454587,0.26427132312
Město Raspenava,00263141,0.26424451208
Město Horní Bříza,00257770,0.26339948414000003
"VÍTKOVICE ARÉNA, a.s.",25911368,0.26027790018
Město Luhačovice,00284165,0.25582848794999996
Město Litvínov,00266027,0.25489949231
"Energeia, o.p.s.",25999851,0.25427122
Úřad pro zastupování státu ve věcech majetkových,69797111,0.254119025
Centrum pro regionální rozvoj České republiky,04095316,0.25393646624
Město Hlinsko,00270059,0.25327645747000005
Město Jičín,00271632,0.24521887769
"Člověk v tísni, o.p.s.",25755277,0.24438262243999997
"Ústav teoretické a aplikované mechaniky AV ČR, v.v.i.",68378297,0.24178880818
